ds;y
2019-05-29;931993.0979269037
2019-05-30;565778.0751450679
2019-05-31;610762.9494205706
2019-06-01;1116833.8707808575
2019-06-02;620363.5994478379
2019-06-03;566029.0556682892
2019-06-04;575581.0518267535
2019-06-05;989908.4215033733
2019-06-06;616642.5399660285
2019-06-07;671062.5348204182
2019-06-08;1230559.4723048704
2019-06-09;707917.0818828193
2019-06-10;652831.7417488744
2019-06-11;638695.5751728548
2019-06-12;1055312.8945061164
2019-06-13;635327.2393293862
2019-06-14;698432.3217956818
2019-06-15;1195922.1598320322
2019-06-16;686780.3048368467
2019-06-17;619972.3972185192
2019-06-18;616832.6330955403
2019-06-19;1007148.8595191321
2019-06-20;611017.02214598
2019-06-21;665486.0670575782
2019-06-22;1172648.8546736056
2019-06-23;593201.8307116452
2019-06-24;485676.16221664264
2019-06-25;606688.837753938
2019-06-26;921629.7562299481
2019-06-27;587667.9870233414
2019-06-28;633877.8468587813
2019-06-29;1119876.182219253
2019-06-30;609919.5995894328
2019-07-01;581757.2811933659
2019-07-02;591681.8780523613
2019-07-03;1024528.3596651675
2019-07-04;613830.8198426769
2019-07-05;703664.3762135616
2019-07-06;1119094.0000126478
2019-07-07;702986.1306530032
2019-07-08;651241.2192377796
2019-07-09;606767.8241935796
2019-07-10;1115614.905352055
2019-07-11;667344.7124877747
2019-07-12;700047.2050621397
2019-07-13;1211368.7243903026
2019-07-14;693978.1494907395
2019-07-15;675764.9239928765
2019-07-16;674369.7803444089
2019-07-17;1108404.575931828
2019-07-18;663709.2876803111
2019-07-19;715887.3972958201
2019-07-20;1084826.9884149632
2019-07-21;610417.8693195134
2019-07-22;656944.1000913208
2019-07-23;643901.8290287276
2019-07-24;1026284.8464655753
2019-07-25;649102.2656792343
2019-07-26;667943.5947465496
2019-07-27;993123.181192545
2019-07-28;572570.1552299625
2019-07-29;600878.0873596921
2019-07-30;618382.0293175338
2019-07-31;975199.4631245404
2019-08-01;632286.0101617565
